기준년도_분기,순위1,순위1_매출,순위2,순위2_매출,순위3,순위3_매출,상권명,행정구,시간순,유동인구3,매출3,유동인구4,매출4,유동인구5,매출5,종합평가,변화
2020_1,의료,94345708430,식품,58537670319,패션,31319094919,가로수길,강남구,1,감소,증가,감소,증가,감소,감소,20,주의
2020_2,의료,82497217787,식품,64054895666,패션,43697119435,가로수길,강남구,2,감소,증가,감소,증가,감소,감소,20,주의
2020_3,의료,83977570444,식품,58440413822,패션,33168369001,가로수길,강남구,3,감소,증가,감소,증가,감소,감소,20,주의
2020_4,의료,82214763780,식품,53580190090,패션,35224251037,가로수길,강남구,4,감소,증가,감소,증가,감소,감소,20,주의
2020_1,패션,889078184,식품,760097874,미용,326566306,논현로159길,강남구,1,증가,증가,증가,증가,증가,증가,70,활성
2020_2,패션,2694724166,식품,989203955,미용,283264804,논현로159길,강남구,2,증가,증가,증가,증가,증가,증가,70,활성
2020_3,패션,2217701207,식품,839111174,미용,261277668,논현로159길,강남구,3,증가,증가,증가,증가,증가,증가,70,활성
2020_4,패션,2594618786,식품,882528010,미용,293357109,논현로159길,강남구,4,증가,증가,증가,증가,증가,증가,70,활성
2020_1,패션,3387936651,식품,2097145869,미용,436355184,도산대로15길,강남구,1,감소,증가,증가,증가,증가,증가,70,활성
2020_2,패션,3863654603,식품,2280693833,미용,551272070,도산대로15길,강남구,2,감소,증가,증가,증가,증가,증가,70,활성
2020_3,패션,3079452136,식품,2054661350,미용,485109257,도산대로15길,강남구,3,감소,증가,증가,증가,증가,증가,70,활성
2020_4,패션,3858201109,식품,1546801886,미용,597130397,도산대로15길,강남구,4,감소,증가,증가,증가,증가,증가,70,활성
2020_1,미용,1025769189,식품,775561320,취미,132869791,도산대로23길,강남구,1,감소,증가,감소,증가,감소,감소,20,주의
2020_2,미용,1369330207,식품,846910886,취미,342072324,도산대로23길,강남구,2,감소,증가,감소,증가,감소,감소,20,주의
2020_3,미용,1542649042,식품,705045668,취미,235196185,도산대로23길,강남구,3,감소,증가,감소,증가,감소,감소,20,주의
2020_4,미용,1202957533,식품,683493277,취미,205579905,도산대로23길,강남구,4,감소,증가,감소,증가,감소,감소,20,주의
2020_1,식품,2195555190,교육,767986347,주거,230969175,압구정로2길,강남구,1,증가,증가,증가,증가,감소,감소,40,유지
2020_2,식품,3061582068,교육,709628117,주거,241338716,압구정로2길,강남구,2,증가,증가,증가,증가,감소,감소,40,유지
2020_3,식품,3235685005,교육,410957742,주거,223932701,압구정로2길,강남구,3,증가,증가,증가,증가,감소,감소,40,유지
2020_4,식품,2902462363,교육,204046424,주거,19068653,압구정로2길,강남구,4,증가,증가,증가,증가,감소,감소,40,유지
2020_1,식품,552824602,의료,108638593,취미,11023926,창신길,종로구,1,증가,감소,증가,증가,증가,증가,80,활성
2020_2,식품,513195917,의료,135714512,취미,13013378,창신길,종로구,2,증가,감소,증가,증가,증가,증가,80,활성
2020_3,식품,555802510,의료,104149861,취미,6637510,창신길,종로구,3,증가,감소,증가,증가,증가,증가,80,활성
2020_4,식품,523041707,의료,132230526,취미,10123489,창신길,종로구,4,증가,감소,증가,증가,증가,증가,80,활성
2020_1,식품,767994181,의료,86519482,미용,25444438,창신5길,종로구,1,증가,증가,증가,증가,증가,증가,90,활성
2020_2,식품,797263779,의료,140008581,미용,28803555,창신5길,종로구,2,증가,증가,증가,증가,증가,증가,90,활성
2020_3,식품,843481632,의료,92527170,미용,27351028,창신5길,종로구,3,증가,증가,증가,증가,증가,증가,90,활성
2020_4,식품,906171720,의료,95343391,미용,26839909,창신5길,종로구,4,증가,증가,증가,증가,증가,증가,90,활성
2020_1,식품,3731283355,패션,13290160,미용,35704897,창신골목시장,종로구,1,감소,증가,감소,증가,감소,감소,20,주의
2020_2,식품,3920048788,패션,155889233,미용,41618553,창신골목시장,종로구,2,감소,증가,감소,증가,감소,감소,20,주의
2020_3,식품,3925812745,패션,195387970,미용,42370757,창신골목시장,종로구,3,감소,증가,감소,증가,감소,감소,20,주의
2020_4,식품,3588106044,패션,171058758,미용,51488931,창신골목시장,종로구,4,감소,증가,감소,증가,감소,감소,20,주의
2020_1,패션,6447242482,식품,3887411206,의료,1361871014,동대문역,종로구,1,증가,증가,증가,증가,증가,증가,70,활성
2020_2,패션,14234965376,식품,3908681487,의료,1483202978,동대문역,종로구,2,증가,증가,증가,증가,증가,증가,70,활성
2020_3,패션,13221437935,식품,3716928483,의료,1475050061,동대문역,종로구,3,증가,증가,증가,증가,증가,증가,70,활성
2020_4,패션,10095700361,식품,3386794012,의료,1534668979,동대문역,종로구,4,증가,증가,증가,증가,증가,증가,70,활성
2020_1,의료,905792424,식품,763901782,취미,137514123,창신2길,종로구,1,감소,감소,감소,감소,감소,감소,20,주의
2020_2,의료,771124553,식품,728549130,취미,129293587,창신2길,종로구,2,감소,감소,감소,감소,감소,감소,20,주의
2020_3,의료,743243819,식품,630517825,취미,137307483,창신2길,종로구,3,감소,감소,감소,감소,감소,감소,20,주의
2020_4,의료,802626100,식품,632566335,취미,105700524,창신2길,종로구,4,감소,감소,감소,감소,감소,감소,20,주의